"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2023","26.90","27.30","27.25","26.80","30.99M","-1.47%"
"05/26/2023","27.50","27.00","27.50","27.00","41.04M","2.23%"
"05/30/2023","29.40","27.60","29.45","27.55","76.38M","6.91%"
"05/31/2023","28.70","29.40","29.55","27.60","39.60M","-2.38%"
"06/01/2023","29.00","28.70","29.20","28.65","34.36M","1.05%"
"06/02/2023","28.35","29.00","28.75","28.30","13.98M","-2.24%"
"06/05/2023","28.10","28.35","28.90","28.10","7.76M","-0.88%"
"06/06/2023","27.85","28.10","28.20","27.60","30.22M","-0.89%"
"06/07/2023","27.80","27.85","27.95","27.80","43.03M","-0.18%"
"06/08/2023","27.90","27.80","28.00","27.70","16.27M","0.36%"
"06/09/2023","28.00","27.90","28.00","27.90","16.68M","0.36%"
"06/13/2023","30.80","28.25","30.80","28.25","208.06M","10.00%"
"06/14/2023","33.70","30.90","33.85","30.85","125.47M","9.42%"
"06/15/2023","31.85","33.50","35.50","31.85","99.85M","-5.49%"
"06/16/2023","30.60","31.85","31.50","30.50","29.36M","-3.92%"
"06/19/2023","32.05","30.60","32.40","30.60","83.80M","4.74%"
"06/20/2023","32.30","32.05","32.35","32.00","65.40M","0.78%"
"06/21/2023","32.00","32.30","32.30","32.00","44.86M","-0.93%"
"06/22/2023","31.50","32.00","32.00","31.05","34.60M","-1.56%"
"06/23/2023","31.45","31.50","31.50","31.20","49.51M","-0.16%"
"06/26/2023","32.70","31.45","32.70","31.90","44.83M","3.97%"
"06/27/2023","34.40","32.70","34.50","32.55","78.99M","5.20%"
"06/30/2023","35.00","34.40","35.15","34.50","77.03M","1.74%"
"07/03/2023","36.50","35.00","36.90","35.00","41.81M","4.29%"
"07/04/2023","35.10","36.50","36.50","35.00","43.79M","-3.84%"
"07/05/2023","36.00","35.10","36.10","35.00","24.39M","2.56%"
"07/06/2023","35.95","36.00","36.05","35.60","14.59M","-0.14%"
"07/07/2023","36.70","35.95","36.85","35.80","24.93M","2.09%"
"07/10/2023","36.00","36.70","37.50","35.50","40.94M","-1.91%"
"07/11/2023","35.90","36.00","36.00","35.60","30.44M","-0.28%"
"07/12/2023","36.00","35.90","36.00","33.70","19.47M","0.28%"
"07/13/2023","34.00","36.00","35.75","33.95","51.24M","-5.56%"
"07/14/2023","33.70","34.00","33.90","32.05","26.00M","-0.88%"
"07/17/2023","34.00","33.70","34.00","30.35","12.05M","0.89%"
"07/18/2023","34.50","34.00","34.50","34.00","5.21M","1.47%"
"07/19/2023","34.80","34.50","34.85","34.30","13.59M","0.87%"
"07/20/2023","35.00","34.80","35.00","34.40","19.22M","0.57%"
"07/21/2023","38.50","35.00","38.50","35.20","65.34M","10.00%"
"07/24/2023","38.50","38.30","38.60","36.20","20.62M","0.00%"
"07/25/2023","38.70","38.50","38.80","35.00","45.09M","0.52%"
"07/26/2023","38.70","38.70","38.90","38.50","22.78M","0.00%"
"07/27/2023","37.50","38.70","37.50","36.70","3.45M","-3.10%"
"07/28/2023","37.05","37.50","37.60","36.00","7.05M","-1.20%"
"07/31/2023","36.65","37.05","37.10","36.50","12.77M","-1.08%"
"08/01/2023","35.50","36.65","36.10","35.40","17.15M","-3.14%"
"08/02/2023","35.50","35.50","35.90","35.45","7.80M","0.00%"
"08/03/2023","36.30","35.50","36.50","35.50","11.76M","2.25%"
"08/04/2023","36.40","36.30","36.50","36.00","14.57M","0.28%"
"08/07/2023","37.00","36.40","37.00","36.35","5.05M","1.65%"
"08/08/2023","37.50","37.00","37.50","37.00","8.89M","1.35%"
"08/09/2023","37.50","37.50","37.50","37.20","3.91M","0.00%"
"08/10/2023","38.00","37.50","38.00","37.45","5.51M","1.33%"
"08/11/2023","37.90","38.00","38.05","37.90","17.78M","-0.26%"
"08/14/2023","37.60","37.90","37.75","37.20","15.57M","-0.79%"
"08/15/2023","37.40","37.60","37.40","36.50","7.79M","-0.53%"
"08/16/2023","37.20","37.40","37.20","37.15","41.75M","-0.53%"
"08/17/2023","37.10","37.20","37.20","36.90","12.86M","-0.27%"
"08/18/2023","36.45","37.10","37.00","35.20","29.70M","-1.75%"
"08/21/2023","36.50","36.45","36.50","36.35","15.44M","0.14%"
"08/22/2023","36.45","36.50","36.50","36.00","7.62M","-0.14%"
"08/23/2023","35.80","36.45","36.00","35.60","3.53M","-1.78%"
"08/24/2023","36.00","35.80","36.40","35.95","42.82M","0.56%"
"08/25/2023","36.10","36.00","36.10","35.85","4.22M","0.28%"
"08/28/2023","36.00","36.10","36.00","35.50","2.64M","-0.28%"
"08/29/2023","36.65","36.00","36.65","35.70","13.41M","1.81%"
"08/30/2023","36.30","36.65","36.30","36.15","12.52M","-0.95%"
"08/31/2023","36.70","36.30","36.70","36.10","5.67M","1.10%"
"09/01/2023","38.00","36.70","38.00","36.50","8.22M","3.54%"
"09/04/2023","40.50","41.80","41.80","38.30","54.80M","6.58%"
"09/05/2023","39.50","40.50","40.50","39.00","38.65M","-2.47%"
"09/06/2023","38.80","39.50","39.85","37.50","11.21M","-1.77%"
"09/07/2023","39.00","38.80","39.00","38.85","4.84M","0.52%"
"09/08/2023","38.85","39.00","39.00","38.85","2.59M","-0.38%"
"09/11/2023","35.50","38.85","38.85","35.50","23.93M","-8.62%"
"09/12/2023","35.00","35.50","35.85","31.95","39.71M","-1.41%"
"09/13/2023","37.10","35.00","38.00","36.00","20.24M","6.00%"
"09/14/2023","36.00","37.10","36.25","36.00","11.64M","-2.96%"
