"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2024","30.95","31.00","31.90","30.95","27.80M","-0.16%"
"01/23/2024","30.00","30.95","31.00","29.50","52.70M","-3.07%"
"01/24/2024","29.90","30.00","30.00","29.90","23.47M","-0.33%"
"01/25/2024","30.30","30.00","30.70","29.90","74.88M","1.34%"
"01/26/2024","30.50","30.30","31.00","29.50","48.69M","0.66%"
"01/29/2024","30.00","30.50","30.85","29.80","32.25M","-1.64%"
"01/30/2024","27.10","30.00","29.70","27.00","44.55M","-9.67%"
"01/31/2024","24.40","27.10","27.00","24.40","61.34M","-9.96%"
"02/01/2024","26.80","24.40","26.80","22.20","69.18M","9.84%"
"02/02/2024","28.00","26.80","29.40","27.85","49.56M","4.48%"
"02/05/2024","27.20","28.00","28.00","27.00","34.73M","-2.86%"
"02/06/2024","25.65","27.20","26.80","25.00","21.52M","-5.70%"
"02/07/2024","25.15","25.65","25.65","24.50","23.95M","-1.95%"
"02/08/2024","24.50","25.15","24.95","22.65","31.38M","-2.58%"
"02/09/2024","25.45","24.50","26.40","24.50","17.58M","3.88%"
"02/12/2024","25.15","25.45","25.25","25.10","7.12M","-1.18%"
"02/13/2024","23.95","25.15","25.00","23.75","24.34M","-4.77%"
"02/14/2024","25.10","23.95","26.30","24.00","47.66M","4.80%"
"02/15/2024","24.75","25.10","25.50","24.50","18.38M","-1.39%"
"02/16/2024","24.90","24.75","25.00","24.55","36.90M","0.61%"
"02/19/2024","24.45","24.90","24.85","24.35","8.62M","-1.81%"
"02/20/2024","23.95","24.45","24.80","23.70","26.03M","-2.04%"
"02/21/2024","24.00","23.95","24.40","23.70","14.91M","0.21%"
"02/22/2024","23.90","24.00","24.50","23.50","22.28M","-0.42%"
"02/23/2024","23.90","23.90","24.00","23.50","16.01M","0.00%"
"02/26/2024","23.80","23.90","23.90","23.05","20.67M","-0.42%"
"02/27/2024","22.50","23.80","23.80","22.50","26.51M","-5.46%"
"02/28/2024","20.50","22.40","22.40","20.50","39.47M","-8.89%"
"02/29/2024","22.55","20.50","22.55","19.75","93.71M","10.00%"
"03/01/2024","23.00","22.55","24.00","22.80","28.50M","2.00%"
"03/04/2024","22.30","23.00","23.50","22.30","19.59M","-3.04%"
"03/05/2024","22.05","22.30","22.40","22.05","23.35M","-1.12%"
"03/06/2024","22.00","22.05","22.45","21.90","29.78M","-0.23%"
