"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2024","694.10","651.80","694.10","694.10","1.05M","6.49%"
"01/25/2024","694.10","694.10","694.10","694.10","196.77K","0.00%"
"01/26/2024","694.10","694.10","694.10","694.10","218.29K","0.00%"
"01/29/2024","763.00","694.10","763.00","624.70","13.04M","9.93%"
"01/30/2024","763.00","763.00","763.00","763.00","493.29K","0.00%"
"01/31/2024","763.00","763.00","763.00","763.00","169.82K","0.00%"
"02/01/2024","763.00","763.00","763.00","763.00","87.09K","0.00%"
"02/02/2024","763.00","763.00","763.00","763.00","34.71K","0.00%"
"02/05/2024","763.00","763.00","763.00","763.00","210.00K","0.00%"
"02/06/2024","763.00","763.00","763.00","763.00","39.52K","0.00%"
"02/07/2024","763.00","763.00","763.00","763.00","6.25K","0.00%"
"02/08/2024","763.00","763.00","763.00","763.00","24.91K","0.00%"
"02/09/2024","763.00","763.00","763.00","763.00","103.87K","0.00%"
"02/12/2024","763.00","763.00","763.00","763.00","34.94K","0.00%"
"02/13/2024","763.00","763.00","763.00","763.00","113.10K","0.00%"
"02/14/2024","763.00","763.00","763.00","763.00","20.30K","0.00%"
"02/15/2024","763.00","763.00","763.00","763.00","14.14K","0.00%"
"02/16/2024","763.00","763.00","763.00","763.00","122.08K","0.00%"
"02/19/2024","686.70","763.00","686.70","686.70","223.99K","-10.00%"
"02/20/2024","686.70","686.70","686.70","686.70","136.19K","0.00%"
"02/21/2024","686.70","686.70","686.70","686.70","130.04K","0.00%"
"02/22/2024","686.70","686.70","686.70","686.70","3.03K","0.00%"
"02/23/2024","686.70","686.70","686.70","686.70","18.71K","0.00%"
"02/26/2024","686.70","686.70","686.70","686.70","172.91K","0.00%"
"02/27/2024","686.70","686.70","686.70","686.70","2.54K","0.00%"
"02/28/2024","686.70","686.70","686.70","686.70","13.69K","0.00%"
"02/29/2024","686.70","686.70","686.70","686.70","18.05K","0.00%"
"03/01/2024","686.70","686.70","686.70","686.70","30.99K","0.00%"
"03/04/2024","686.70","686.70","686.70","686.70","33.44K","0.00%"
"03/05/2024","686.70","686.70","686.70","686.70","226.11K","0.00%"
"03/06/2024","686.70","686.70","686.70","686.70","86.41K","0.00%"
"03/07/2024","686.70","686.70","686.70","686.70","6.85M","0.00%"
"03/08/2024","686.70","686.70","686.70","686.70","187.92K","0.00%"
"03/11/2024","686.70","686.70","686.70","686.70","140.62K","0.00%"
"03/12/2024","686.70","686.70","686.70","686.70","7.11K","0.00%"
"03/13/2024","686.70","686.70","686.70","686.70","54.27K","0.00%"
"03/14/2024","686.70","686.70","686.70","686.70","4.21K","0.00%"
"03/15/2024","686.70","686.70","686.70","686.70","17.32K","0.00%"
"03/18/2024","686.70","686.70","686.70","686.70","36.42K","0.00%"
"03/19/2024","686.70","686.70","686.70","686.70","3.54K","0.00%"
"03/20/2024","686.70","686.70","686.70","686.70","0.68K","0.00%"
"03/21/2024","686.70","686.70","686.70","686.70","3.91K","0.00%"
"03/22/2024","686.70","686.70","686.70","686.70","6.16K","0.00%"
"03/25/2024","686.70","686.70","686.70","686.70","53.65K","0.00%"
"03/26/2024","686.70","686.70","686.70","686.70","5.44K","0.00%"
"03/27/2024","686.70","686.70","686.70","686.70","6.60K","0.00%"
"03/28/2024","686.70","686.70","620.00","618.10","4.93K","0.00%"
"04/02/2024","686.70","686.70","618.10","618.10","21.82K","0.00%"
"04/03/2024","686.70","686.70","618.10","618.10","58.48K","0.00%"
"04/04/2024","686.70","686.70","618.10","618.10","55.71K","0.00%"
"04/05/2024","686.70","686.70","618.10","618.10","11.57K","0.00%"
"04/08/2024","686.70","686.70","618.10","618.10","4.24K","0.00%"
"04/12/2024","686.70","686.70","618.10","618.10","82.14K","0.00%"
"04/15/2024","686.70","686.70","618.10","618.10","925.62K","0.00%"
"04/16/2024","656.70","656.70","591.10","591.10","13.08K","-4.37%"
"04/17/2024","656.70","656.70","591.10","591.10","1.92K","0.00%"
"04/18/2024","656.70","656.70","591.10","591.10","3.00K","0.00%"
"04/19/2024","656.70","656.70","591.10","591.10","3.06K","0.00%"
"04/22/2024","656.70","656.70","591.10","591.10","9.69K","0.00%"
"04/23/2024","656.70","656.70","591.10","591.10","1.02K","0.00%"
"04/24/2024","656.70","656.70","591.10","591.10","11.35K","0.00%"
"04/25/2024","656.70","656.70","595.00","591.10","3.79K","0.00%"
"04/26/2024","656.70","656.70","591.10","591.10","10.59K","0.00%"
"04/29/2024","656.70","656.70","591.10","591.10","10.66K","0.00%"
"04/30/2024","656.70","656.70","591.10","591.10","3.41K","0.00%"
"05/02/2024","656.70","656.70","591.10","591.10","8.95K","0.00%"
"05/03/2024","656.70","656.70","591.10","591.10","17.65K","0.00%"
"05/06/2024","656.70","656.70","591.10","591.10","2.36K","0.00%"
"05/07/2024","656.70","656.70","591.10","591.10","4.46K","0.00%"
"05/08/2024","656.70","656.70","591.10","591.10","8.01K","0.00%"
"05/09/2024","656.70","656.70","591.10","591.10","17.97K","0.00%"
"05/10/2024","656.70","656.70","591.10","591.10","5.39K","0.00%"
"05/13/2024","656.70","656.70","591.10","591.10","6.28K","0.00%"
"05/14/2024","656.70","656.70","591.10","591.10","9.09K","0.00%"
"05/15/2024","656.70","656.70","591.10","591.10","2.56K","0.00%"
"05/16/2024","656.70","656.70","591.10","591.10","3.54K","0.00%"
"05/17/2024","656.70","656.70","591.10","591.10","4.36K","0.00%"
"05/20/2024","656.70","656.70","591.10","591.10","15.80K","0.00%"
"05/21/2024","656.70","656.70","591.10","591.10","12.21K","0.00%"
"05/22/2024","656.70","656.70","591.10","591.10","10.24K","0.00%"
"05/23/2024","656.70","656.70","591.10","591.10","17.40K","0.00%"
"05/24/2024","656.70","656.70","591.10","591.10","4.49K","0.00%"
"05/27/2024","656.70","656.70","591.50","591.10","6.66K","0.00%"
"05/28/2024","656.70","656.70","591.10","591.10","4.52K","0.00%"
"05/29/2024","656.70","656.70","591.10","591.10","4.21K","0.00%"
"05/30/2024","656.70","656.70","591.10","591.10","6.50K","0.00%"
"05/31/2024","656.70","656.70","591.10","591.10","28.28K","0.00%"
"06/03/2024","656.70","656.70","591.10","591.10","12.66K","0.00%"
"06/04/2024","656.70","656.70","591.10","591.10","7.29K","0.00%"
"06/05/2024","656.70","656.70","591.10","591.10","10.12K","0.00%"
"06/06/2024","656.70","656.70","591.10","591.10","16.17K","0.00%"
"06/07/2024","656.70","656.70","591.10","591.10","9.58K","0.00%"
"06/10/2024","656.70","656.70","591.10","591.10","12.89K","0.00%"
"06/11/2024","656.70","656.70","591.10","591.10","17.04K","0.00%"
"06/13/2024","656.70","656.70","591.10","591.10","19.40K","0.00%"
"06/14/2024","656.70","656.70","591.10","591.10","6.60K","0.00%"
"06/19/2024","656.70","656.70","591.10","591.10","60.00K","0.00%"
"06/20/2024","656.70","656.70","591.10","591.10","8.13K","0.00%"
"06/21/2024","656.70","656.70","591.10","591.10","5.60K","0.00%"
"06/24/2024","656.70","656.70","591.10","591.10","5.28K","0.00%"
"06/25/2024","656.70","656.70","591.10","591.10","4.20K","0.00%"
"06/26/2024","656.70","656.70","591.10","591.10","4.72K","0.00%"
"06/27/2024","656.70","656.70","591.10","591.10","203.96K","0.00%"
"06/28/2024","656.70","656.70","591.10","591.10","11.06K","0.00%"
"07/01/2024","656.70","656.70","591.10","591.10","20.25K","0.00%"
"07/02/2024","656.70","656.70","591.10","591.10","5.48K","0.00%"
"07/03/2024","656.70","656.70","591.10","591.10","8.43K","0.00%"
"07/04/2024","656.70","656.70","591.10","591.10","6.90K","0.00%"
"07/05/2024","656.70","656.70","591.10","591.10","4.32K","0.00%"
"07/08/2024","656.70","656.70","591.10","591.10","29.02K","0.00%"
"07/09/2024","656.70","656.70","591.10","591.10","10.26K","0.00%"
"07/10/2024","656.70","656.70","591.10","591.10","8.56K","0.00%"
"07/11/2024","656.70","656.70","591.10","591.10","120.45K","0.00%"
"07/12/2024","656.70","656.70","591.10","591.10","57.08K","0.00%"
"07/15/2024","656.70","656.70","591.10","591.10","59.67K","0.00%"
"07/16/2024","656.70","656.70","591.10","591.10","24.56K","0.00%"
"07/17/2024","656.70","656.70","591.10","591.10","6.60K","0.00%"
"07/18/2024","656.70","656.70","591.10","591.10","20.67K","0.00%"
"07/19/2024","656.70","656.70","591.10","591.10","3.42K","0.00%"
"07/22/2024","656.70","656.70","591.10","591.10","4.88K","0.00%"
"07/23/2024","656.70","656.70","591.10","591.10","110.86K","0.00%"
"07/24/2024","656.70","656.70","591.10","591.10","92.65K","0.00%"
"07/25/2024","656.70","656.70","591.10","591.10","91.03K","0.00%"
"07/26/2024","591.10","656.70","591.10","591.10","498.30K","-9.99%"
"07/29/2024","591.10","591.10","532.00","532.00","84.57K","0.00%"
"07/30/2024","591.10","591.10","540.00","532.00","74.72K","0.00%"
"07/31/2024","591.10","591.10","591.10","532.00","6.77K","0.00%"
"08/01/2024","591.10","591.10","591.10","532.00","6.60K","0.00%"
"08/02/2024","591.10","591.10","591.10","532.00","33.72K","0.00%"
"08/05/2024","591.10","591.10","591.10","532.00","11.72K","0.00%"
"08/06/2024","591.10","591.10","591.10","591.10","67.52K","0.00%"
"08/07/2024","591.10","591.10","591.10","591.10","29.56K","0.00%"
"08/08/2024","591.10","591.10","591.10","591.10","6.97K","0.00%"
"08/09/2024","591.10","591.10","591.10","591.10","3.55K","0.00%"
"08/12/2024","591.10","591.10","591.10","591.10","10.75K","0.00%"
"08/13/2024","591.10","591.10","591.10","591.10","6.55K","0.00%"
"08/14/2024","591.10","591.10","591.10","591.10","26.24K","0.00%"
"08/15/2024","591.10","591.10","591.10","591.10","2.29K","0.00%"
"08/16/2024","591.10","591.10","591.10","591.10","11.86K","0.00%"
"08/19/2024","532.00","591.10","532.00","532.00","246.25K","-10.00%"
"08/20/2024","532.00","532.00","532.00","532.00","87.73K","0.00%"
"08/21/2024","532.00","532.00","532.00","532.00","11.71K","0.00%"
"08/22/2024","532.00","532.00","532.00","532.00","6.75K","0.00%"
"08/23/2024","532.00","532.00","532.00","532.00","11.08K","0.00%"
"08/26/2024","532.00","532.00","532.00","532.00","35.23K","0.00%"
"08/27/2024","532.00","532.00","532.00","532.00","36.64K","0.00%"
"08/28/2024","532.00","532.00","532.00","532.00","42.97K","0.00%"
"08/29/2024","532.00","532.00","532.00","532.00","22.86K","0.00%"
"08/30/2024","532.00","532.00","532.00","532.00","30.70K","0.00%"
"09/02/2024","532.00","532.00","532.00","532.00","33.71K","0.00%"
"09/03/2024","532.00","532.00","532.00","532.00","5.06K","0.00%"
"09/04/2024","532.00","532.00","532.00","532.00","6.88K","0.00%"
"09/05/2024","532.00","532.00","532.00","532.00","23.79K","0.00%"
"09/06/2024","532.00","532.00","532.00","532.00","23.93K","0.00%"
"09/09/2024","532.00","532.00","532.00","532.00","18.58K","0.00%"
"09/10/2024","532.00","532.00","532.00","532.00","16.47K","0.00%"
"09/11/2024","532.00","532.00","532.00","532.00","82.17K","0.00%"
"09/12/2024","532.00","532.00","532.00","532.00","90.89K","0.00%"
"09/13/2024","532.00","532.00","532.00","532.00","105.86K","0.00%"
"09/17/2024","532.00","532.00","532.00","532.00","30.47K","0.00%"
"09/18/2024","532.00","532.00","532.00","532.00","52.58K","0.00%"
"09/19/2024","532.00","532.00","532.00","532.00","6.03K","0.00%"
"09/20/2024","532.00","532.00","532.00","532.00","23.28K","0.00%"
"09/23/2024","532.00","532.00","532.00","532.00","28.50K","0.00%"
"09/24/2024","532.00","532.00","532.00","532.00","28.87K","0.00%"
"09/25/2024","532.00","532.00","532.00","532.00","18.01K","0.00%"
"09/26/2024","532.00","532.00","532.00","532.00","67.31K","0.00%"
"09/27/2024","532.00","532.00","532.00","532.00","124.43K","0.00%"
"09/30/2024","532.00","532.00","532.00","532.00","3.58K","0.00%"
"10/02/2024","532.00","532.00","532.00","532.00","182.38K","0.00%"
"10/03/2024","478.80","532.00","478.80","478.80","154.50K","-10.00%"
"10/04/2024","478.80","478.80","478.80","478.80","340.32K","0.00%"
"10/07/2024","478.80","478.80","478.80","478.80","39.15K","0.00%"
"10/08/2024","478.80","478.80","478.80","478.80","14.95K","0.00%"
"10/09/2024","478.80","478.80","478.80","478.80","15.02K","0.00%"
"10/10/2024","478.80","478.80","478.80","478.80","10.32K","0.00%"
"10/11/2024","478.80","478.80","478.80","478.80","10.08K","0.00%"
"10/14/2024","478.80","478.80","478.80","478.80","17.74K","0.00%"
"10/15/2024","478.80","478.80","478.80","478.80","9.79K","0.00%"
"10/16/2024","478.80","478.80","478.80","478.80","6.67K","0.00%"
"10/17/2024","478.80","478.80","478.80","478.80","2.24K","0.00%"
"10/18/2024","478.80","478.80","478.80","478.80","2.09K","0.00%"
"10/21/2024","478.80","478.80","478.80","478.80","16.74K","0.00%"
"10/22/2024","478.80","478.80","478.80","478.80","8.95K","0.00%"
"10/23/2024","478.80","478.80","478.80","478.80","17.55K","0.00%"
"10/24/2024","478.80","478.80","478.80","478.80","23.70K","0.00%"
"10/25/2024","478.80","478.80","478.80","478.80","21.77K","0.00%"
"10/28/2024","478.80","478.80","478.80","478.80","17.72K","0.00%"
"10/29/2024","478.80","478.80","478.80","478.80","9.35K","0.00%"
"10/30/2024","478.80","478.80","478.80","478.80","7.22K","0.00%"
"10/31/2024","478.80","478.80","478.80","478.80","32.31K","0.00%"
"11/01/2024","478.80","478.80","478.80","478.80","34.43K","0.00%"
"11/04/2024","478.80","478.80","478.80","478.80","33.75K","0.00%"
"11/05/2024","478.80","478.80","478.80","478.80","12.15K","0.00%"
"11/06/2024","478.80","478.80","478.80","478.80","8.20K","0.00%"
"11/07/2024","478.80","478.80","478.80","478.80","10.19K","0.00%"
"11/08/2024","478.80","478.80","478.80","478.80","10.97K","0.00%"
"11/11/2024","478.80","478.80","478.80","478.80","4.85K","0.00%"
