"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2024","247.50","247.50","244.00","222.80","810.32K","0.00%"
"02/21/2024","247.50","247.50","228.90","222.80","1.31M","0.00%"
"02/22/2024","247.50","247.50","234.70","222.80","1.16M","0.00%"
"02/23/2024","247.50","247.50","234.90","222.80","1.12M","0.00%"
"02/26/2024","247.50","247.50","233.00","222.80","1.13M","0.00%"
"02/27/2024","222.90","247.50","222.90","222.90","1.42M","-9.94%"
"02/28/2024","222.90","222.90","208.50","200.70","1.23M","0.00%"
"02/29/2024","222.90","222.90","220.90","200.70","1.04M","0.00%"
"03/01/2024","200.70","222.90","200.70","200.70","1.68M","-9.96%"
"03/04/2024","185.00","200.70","185.00","185.00","4.60M","-7.82%"
"03/05/2024","183.00","185.00","183.00","175.00","5.00M","-1.08%"
"03/06/2024","183.00","183.00","196.90","184.10","1.01M","0.00%"
"03/07/2024","201.30","183.00","201.30","185.00","2.02M","10.00%"
"03/08/2024","221.40","201.30","221.40","201.30","5.87M","9.99%"
"03/11/2024","221.40","221.40","243.30","223.00","1.68M","0.00%"
"03/12/2024","243.50","221.40","243.50","230.00","1.72M","9.98%"
"03/13/2024","249.00","243.50","249.00","248.60","2.90M","2.26%"
"03/14/2024","248.00","249.00","249.00","248.00","3.21M","-0.40%"
"03/15/2024","267.80","248.00","267.80","267.80","2.04M","7.98%"
"03/18/2024","247.50","267.80","248.00","247.50","1.61M","-7.58%"
"03/19/2024","240.00","247.50","240.00","240.00","2.84M","-3.03%"
"03/20/2024","240.00","240.00","240.00","230.10","381.59K","0.00%"
"03/21/2024","235.00","240.00","235.00","235.00","728.42K","-2.08%"
"03/22/2024","235.00","235.00","235.00","235.00","1.49M","0.00%"
"03/25/2024","235.00","235.00","238.00","235.00","11.06M","0.00%"
"03/26/2024","231.00","235.00","231.00","230.00","5.25M","-1.70%"
"03/27/2024","229.90","231.00","231.00","229.90","2.63M","-0.48%"
"03/28/2024","232.00","229.90","232.00","229.90","3.21M","0.91%"
"04/02/2024","232.00","232.00","235.00","220.00","203.03K","0.00%"
"04/03/2024","232.00","232.00","232.00","225.00","1.31M","0.00%"
"04/04/2024","229.00","232.00","229.00","229.00","1.84M","-1.29%"
"04/05/2024","227.00","229.00","230.00","227.00","5.74M","-0.87%"
"04/08/2024","227.00","227.00","227.00","227.00","3.98M","0.00%"
"04/12/2024","227.00","227.00","227.00","227.00","9.35M","0.00%"
"04/15/2024","227.00","227.00","227.00","227.00","5.16M","0.00%"
"04/16/2024","224.00","227.00","225.00","224.00","3.98M","-1.32%"
"04/17/2024","224.00","224.00","223.00","206.00","1.16M","0.00%"
"04/18/2024","224.00","224.00","223.00","215.10","206.60K","0.00%"
"04/19/2024","224.00","224.00","220.70","205.10","246.77K","0.00%"
"04/22/2024","224.00","224.00","214.90","203.20","227.61K","0.00%"
"04/23/2024","224.00","224.00","207.90","201.60","552.24K","0.00%"
"04/24/2024","201.60","224.00","201.60","201.60","2.78M","-10.00%"
"04/25/2024","202.00","201.60","202.00","200.00","5.17M","0.20%"
"04/26/2024","202.00","202.00","219.90","204.40","615.11K","0.00%"
"04/29/2024","202.00","202.00","210.00","206.10","404.96K","0.00%"
"04/30/2024","210.00","202.00","210.00","208.00","1.31M","3.96%"
"05/02/2024","210.00","210.00","219.80","213.10","149.75K","0.00%"
"05/03/2024","215.00","210.00","215.00","215.00","933.85K","2.38%"
"05/06/2024","215.50","215.00","215.50","215.00","1.90M","0.23%"
"05/07/2024","215.00","215.50","215.00","214.00","1.53M","-0.23%"
"05/08/2024","220.00","215.00","220.00","215.00","11.87M","2.33%"
"05/09/2024","220.00","220.00","220.00","220.00","3.43M","0.00%"
"05/10/2024","220.00","220.00","220.00","220.00","2.38M","0.00%"
"05/13/2024","220.00","220.00","225.30","201.00","873.07K","0.00%"
"05/14/2024","220.00","220.00","220.00","220.00","1.37M","0.00%"
"05/15/2024","224.00","220.00","224.00","224.00","3.74M","1.82%"
"05/16/2024","224.00","224.00","226.00","220.10","787.42K","0.00%"
"05/17/2024","224.00","224.00","229.20","220.20","3.14M","0.00%"
"05/20/2024","230.00","224.00","230.00","230.00","2.09M","2.68%"
"05/21/2024","230.50","230.00","230.50","230.00","2.20M","0.22%"
"05/22/2024","230.50","230.50","234.90","220.20","78.49K","0.00%"
"05/23/2024","230.50","230.50","230.50","230.50","1.86M","0.00%"
"05/24/2024","230.50","230.50","233.60","223.00","277.64K","0.00%"
"05/27/2024","230.50","230.50","232.40","223.00","437.74K","0.00%"
"05/28/2024","230.50","230.50","232.60","223.00","193.76K","0.00%"
"05/29/2024","230.50","230.50","227.60","221.80","161.78K","0.00%"
"05/30/2024","230.50","230.50","228.00","223.10","543.31K","0.00%"
"05/31/2024","230.00","230.50","230.00","230.00","2.92M","-0.22%"
"06/03/2024","230.00","230.00","230.00","230.00","1.73M","0.00%"
"06/04/2024","230.00","230.00","230.00","216.40","608.03K","0.00%"
"06/05/2024","230.00","230.00","229.00","215.00","1.29M","0.00%"
"06/06/2024","230.00","230.00","223.90","211.50","574.37K","0.00%"
"06/07/2024","230.00","230.00","225.00","220.10","171.51K","0.00%"
"06/10/2024","230.00","230.00","225.00","217.00","140.06K","0.00%"
"06/11/2024","220.70","230.00","220.70","220.70","266.08K","-4.04%"
"06/13/2024","220.70","220.70","222.90","211.60","274.29K","0.00%"
"06/14/2024","220.70","220.70","221.90","212.20","315.65K","0.00%"
"06/19/2024","214.80","220.70","214.80","214.80","2.82M","-2.67%"
"06/20/2024","214.80","214.80","214.90","208.40","1.49M","0.00%"
"06/21/2024","214.80","214.80","215.00","202.30","1.86M","0.00%"
"06/24/2024","214.80","214.80","210.00","200.10","1.03M","0.00%"
"06/25/2024","214.80","214.80","206.90","199.00","2.99M","0.00%"
"06/26/2024","214.80","214.80","204.70","195.50","2.18M","0.00%"
"06/27/2024","200.00","214.80","200.00","200.00","4.53M","-6.89%"
"06/28/2024","214.00","200.00","214.00","200.00","4.32M","7.00%"
"07/01/2024","214.00","214.00","214.80","201.00","418.56K","0.00%"
"07/02/2024","214.00","214.00","214.00","200.10","337.04K","0.00%"
"07/03/2024","214.00","214.00","209.30","202.10","2.46M","0.00%"
"07/04/2024","200.00","214.00","200.00","200.00","1.53M","-6.54%"
"07/05/2024","200.00","200.00","208.00","200.00","431.12K","0.00%"
"07/08/2024","200.00","200.00","203.00","200.00","261.72K","0.00%"
"07/09/2024","200.00","200.00","207.40","200.60","301.07K","0.00%"
"07/10/2024","200.00","200.00","207.00","200.10","374.30K","0.00%"
"07/11/2024","200.00","200.00","206.50","201.00","130.66K","0.00%"
