"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2023","55,603.94","55,605.57","55,623.29","55,522.41","159.46M","0.00%"
"03/08/2023","55,801.14","55,603.94","55,820.42","55,596.67","152.74M","0.35%"
"03/09/2023","55,822.14","55,801.14","55,830.28","55,629.24","311.47M","0.04%"
"03/10/2023","55,794.51","55,822.14","55,827.87","55,779.25","275.92M","-0.05%"
"03/13/2023","55,788.37","55,794.51","55,926.89","55,788.37","179.03M","-0.01%"
"03/14/2023","55,722.90","55,788.37","55,788.37","55,693.39","199.27M","-0.12%"
"03/15/2023","55,490.20","55,722.90","55,722.99","55,441.60","181.04M","-0.42%"
"03/16/2023","54,915.61","55,490.20","55,490.20","54,844.29","137.28M","-1.04%"
"03/17/2023","54,935.20","54,915.61","54,948.43","54,913.86","156.97M","0.04%"
"03/20/2023","54,888.48","54,915.39","54,997.28","54,856.36","1.17B","-0.09%"
"03/21/2023","54,904.68","54,886.04","54,921.85","54,880.02","127.74M","0.03%"
"03/22/2023","54,936.11","54,904.68","54,959.44","54,904.68","134.15M","0.06%"
"03/23/2023","54,924.08","54,936.11","54,951.96","54,919.50","117.85M","-0.02%"
"03/24/2023","54,892.53","54,924.08","54,944.30","54,314.52","137.56M","-0.06%"
"03/27/2023","53,750.77","54,780.44","54,780.44","53,750.77","100.88M","-2.08%"
"03/28/2023","53,498.27","53,750.77","53,876.52","53,498.27","202.85M","-0.47%"
"03/29/2023","53,603.80","53,124.63","53,668.06","53,124.16","236.06M","0.20%"
"03/30/2023","54,413.21","53,603.80","54,413.21","53,603.80","973.58M","1.51%"
"03/31/2023","54,857.96","54,413.21","54,869.86","54,413.21","557.93M","0.82%"
"04/03/2023","54,190.28","54,232.34","54,236.59","54,186.51","292.56M","-1.22%"
"04/04/2023","54,082.96","54,187.48","54,206.00","54,051.37","296.68M","-0.20%"
"04/05/2023","53,018.97","54,035.39","54,041.08","53,003.51","197.21M","-1.97%"
"04/06/2023","52,994.13","53,018.97","53,031.41","52,991.04","266.95M","-0.05%"
"04/11/2023","51,952.99","52,994.13","52,997.10","51,945.98","1.72B","-1.96%"
"04/12/2023","51,953.41","51,952.99","51,960.77","51,935.95","255.16M","0.00%"
"04/13/2023","51,944.58","51,953.41","51,981.35","51,941.27","302.92M","-0.02%"
"04/14/2023","51,903.61","51,944.58","51,954.90","51,886.65","260.70M","-0.08%"
"04/17/2023","51,120.94","51,709.50","51,710.82","51,095.23","226.59M","-1.51%"
"04/18/2023","51,134.85","51,127.38","51,144.76","51,105.04","1.03B","0.03%"
"04/19/2023","51,209.01","51,138.92","51,209.01","51,138.92","216.53M","0.15%"
"04/20/2023","51,355.74","51,237.16","51,363.29","51,019.11","600.77M","0.29%"
"04/25/2023","51,681.01","51,407.96","51,681.55","51,407.96","541.96M","0.63%"
"04/26/2023","52,097.62","51,608.39","52,108.38","51,605.13","1.48B","0.81%"
"04/27/2023","52,235.88","52,097.62","52,308.30","52,084.74","2.33B","0.27%"
"04/28/2023","52,403.51","52,235.88","52,468.51","52,223.82","472.13M","0.32%"
"05/02/2023","52,299.24","52,406.88","52,426.46","52,088.98","418.40M","-0.20%"
"05/03/2023","52,207.77","52,296.48","52,300.31","52,172.84","670.08M","-0.17%"
"05/04/2023","52,290.75","52,207.77","52,308.82","52,207.77","770.12M","0.16%"
"05/05/2023","52,466.52","52,290.75","52,469.78","52,273.06","482.58M","0.34%"
"05/08/2023","52,579.52","52,465.33","52,622.37","52,465.33","511.37M","0.22%"
"05/09/2023","52,606.51","52,576.26","52,658.89","52,551.76","640.95M","0.05%"
"05/10/2023","52,209.31","52,605.41","52,684.07","52,077.15","554.31M","-0.76%"
"05/11/2023","52,161.24","52,202.53","52,251.68","52,100.03","477.27M","-0.09%"
"05/12/2023","52,214.62","52,162.14","52,215.66","52,159.75","1.42B","0.10%"
"05/15/2023","52,231.29","52,214.62","52,250.73","52,212.44","626.39M","0.03%"
"05/16/2023","52,419.33","52,231.29","52,436.45","52,231.29","576.85M","0.36%"
"05/17/2023","52,580.86","52,417.09","52,636.93","52,417.09","680.80M","0.31%"
"05/18/2023","52,109.43","52,063.21","52,139.51","52,044.02","334.24M","-0.90%"
"05/19/2023","52,187.93","52,109.45","52,187.93","52,064.86","584.66M","0.15%"
"05/22/2023","52,369.13","52,187.93","52,369.13","52,145.28","315.68M","0.35%"
"05/23/2023","52,621.19","52,374.89","52,621.19","52,361.95","350.97M","0.48%"
"05/24/2023","52,927.60","52,621.19","52,942.62","52,581.88","455.18M","0.58%"
"05/25/2023","52,821.64","52,927.60","52,928.28","52,723.15","377.14M","-0.20%"
"05/26/2023","52,973.88","52,821.60","52,991.18","52,415.13","461.78M","0.29%"
"05/30/2023","55,745.74","52,973.88","55,745.74","52,973.88","1.08B","5.23%"
"05/31/2023","55,769.28","55,741.49","55,800.21","55,436.50","661.51M","0.04%"
"06/01/2023","55,808.25","55,769.91","55,832.68","55,713.60","390.22M","0.07%"
"06/02/2023","55,822.82","55,808.25","55,828.59","55,570.81","455.76M","0.03%"
"06/05/2023","55,807.09","55,820.50","55,820.50","55,694.52","369.75M","-0.03%"
"06/06/2023","56,038.85","55,806.71","56,038.85","55,768.37","322.49M","0.42%"
"06/07/2023","56,025.56","56,038.85","56,089.52","56,006.80","397.62M","-0.02%"
"06/08/2023","55,956.59","56,024.83","56,030.97","55,361.68","531.78M","-0.12%"
"06/09/2023","55,930.97","55,956.59","55,998.75","55,867.98","574.63M","-0.05%"
"06/13/2023","58,163.55","55,930.97","58,195.59","55,930.97","1.19B","3.99%"
"06/14/2023","59,985.10","58,163.76","60,072.73","58,163.76","1.30B","3.13%"
"06/15/2023","59,195.21","59,985.10","60,442.12","59,121.70","1.17B","-1.32%"
"06/16/2023","59,000.96","59,195.21","59,233.16","58,897.65","622.42M","-0.33%"
"06/19/2023","59,016.12","59,000.96","59,227.72","58,925.92","892.95M","0.03%"
"06/20/2023","59,110.02","59,014.85","59,125.75","59,012.15","588.84M","0.16%"
"06/21/2023","59,323.95","59,110.60","59,399.54","59,097.09","643.03M","0.36%"
"06/22/2023","59,361.60","59,324.99","59,373.28","59,279.36","615.91M","0.06%"
"06/23/2023","59,206.63","59,211.26","59,252.78","59,164.94","627.87M","-0.26%"
